index,layer,feature_id
1533,25,2474
1637,25,3319
1647,25,4144
1545,25,5245
1658,25,6288
1649,25,7307
1554,25,9594
1640,25,9764
1555,25,9891
1552,25,10096
1574,25,10427
1535,25,10753
1639,25,11723
1542,25,12172
1534,25,12242
1660,25,13322
1679,25,13363
1532,25,13464
1562,25,14829
1564,25,15691
1648,25,16028
1575,25,17446
1650,25,18615
1659,25,18825
1677,25,18853
1563,25,19135
1667,25,19916
1544,25,21587
1680,25,22155
1573,25,24389
1669,25,24841
1638,25,25110
1668,25,25233
1543,25,25949
1670,25,26374
1572,25,27879
1565,25,29148
1657,25,29179
1553,25,29556
1678,25,31345
2283,26,67
2305,26,1010
2465,26,1098
2286,26,1157
2423,26,1348
2435,26,1423
2303,26,1744
2326,26,1863
2333,26,2010
2466,26,2235
2395,26,3600
2455,26,4165
2415,26,4468
2413,26,4552
2484,26,5996
2293,26,6259
2355,26,6382
2306,26,6526
2314,26,6902
2384,26,6945
2304,26,7772
2284,26,8321
2376,26,8324
2296,26,8450
2405,26,8657
2426,26,9344
2396,26,9466
2386,26,9704
2346,26,9755
2486,26,10532
2366,26,10554
2414,26,10573
2365,26,10813
2344,26,10912
2456,26,11105
2315,26,11165
2444,26,11461
2335,26,12039
2356,26,12077
2416,26,12698
2425,26,12825
2464,26,13945
2424,26,14071
2375,26,14335
2406,26,14351
2313,26,14686
2294,26,15022
2323,26,15447
2325,26,16066
2483,26,16809
2345,26,17291
2373,26,17341
2383,26,19569
2374,26,19586
2453,26,21749
2394,26,21995
2433,26,22526
2393,26,22549
2324,26,22868
2454,26,23275
2334,26,23295
2336,26,23318
2473,26,23345
2295,26,24735
2434,26,24851
2353,26,25796
2436,26,27486
2485,26,27752
2403,26,27899
2474,26,27982
2476,26,28221
2385,26,28579
2343,26,28876
2364,26,29004
2354,26,29090
2285,26,29110
2463,26,29419
2475,26,29458
2363,26,29838
2404,26,30403
2446,26,30958
2316,26,31767
2443,26,31890
2445,26,32759
1236,27,669
1149,27,761
1226,27,763
1248,27,1179
1227,27,1872
1197,27,2094
1156,27,2955
1249,27,3840
1207,27,3874
1237,27,5564
1217,27,5811
1186,27,6129
1159,27,6410
1199,27,7195
1119,27,7693
1219,27,8159
1267,27,8354
1106,27,8466
1096,27,8499
1188,27,8612
1238,27,8888
1239,27,9291
1139,27,9761
1098,27,9866
1196,27,10313
1209,27,10420
1266,27,10902
1206,27,10937
1176,27,11053
1187,27,11630
1268,27,12019
1178,27,12303
1148,27,12365
1166,27,13884
1259,27,14131
1109,27,14425
1167,27,14508
1117,27,14959
1088,27,15664
1087,27,15775
1146,27,15851
1137,27,16833
1116,27,17446
1089,27,17857
1108,27,18404
1257,27,19073
1097,27,20056
1218,27,20094
1229,27,20560
1246,27,20600
1256,27,20893
1269,27,21421
1118,27,21625
1168,27,22004
1177,27,22104
1099,27,22584
1158,27,22605
1208,27,22855
1126,27,23318
1128,27,23444
1129,27,24896
1107,27,24899
1127,27,24943
1179,27,25296
1189,27,25942
1198,27,26745
1086,27,26854
1147,27,28190
1228,27,28498
1216,27,29577
1157,27,29856
1138,27,30416
1258,27,30479
1169,27,31300
1136,27,32051
1247,27,32071
639,28,498
677,28,505
589,28,810
719,28,1338
747,28,2902
656,28,3343
658,28,3681
746,28,3957
577,28,4558
567,28,5039
597,28,5277
627,28,5994
698,28,6034
706,28,6102
547,28,6418
596,28,6711
716,28,6902
636,28,7397
726,28,9091
608,28,9744
717,28,9890
676,28,10038
637,28,10170
646,28,10179
647,28,10435
686,28,10891
579,28,11007
626,28,11067
689,28,11260
738,28,11328
648,28,12541
699,28,13153
546,28,13239
587,28,13288
728,28,13380
708,28,13603
616,28,13622
558,28,13750
549,28,14093
606,28,14543
687,28,14584
638,28,14735
736,28,16346
607,28,16874
737,28,17106
588,28,17160
668,28,17504
727,28,18617
649,28,18682
628,28,18861
548,28,18936
618,28,19667
557,28,20224
679,28,20453
659,28,20721
617,28,21019
566,28,21591
729,28,21684
576,28,21750
748,28,21868
696,28,22086
739,28,23094
599,28,23125
666,28,23202
586,28,23466
749,28,24422
556,28,24474
678,28,25585
619,28,26145
657,28,26325
707,28,26792
578,28,26998
629,28,27328
697,28,27342
559,28,27734
688,28,28026
569,28,29030
667,28,29059
598,28,29721
609,28,29851
669,28,30607
718,28,30620
709,28,31566
568,28,32315
3000,29,213
2841,29,449
2859,29,506
2849,29,540
2811,29,628
2969,29,2077
2912,29,2086
3011,29,2305
2872,29,3675
2929,29,3706
3009,29,4301
2881,29,4435
2901,29,5201
2951,29,5703
2931,29,5927
2942,29,5950
2831,29,6360
2922,29,6640
2932,29,6875
2812,29,6968
2962,29,7139
3002,29,7314
2949,29,7857
2911,29,7971
2899,29,8197
2970,29,8201
2941,29,8400
2980,29,8801
2920,29,9502
2950,29,9546
2999,29,9695
2892,29,9776
2891,29,9913
2952,29,10626
2829,29,10657
2852,29,12343
2939,29,12803
2889,29,12918
2921,29,13163
2842,29,13388
2871,29,13672
2982,29,13995
2880,29,14045
3001,29,14300
2991,29,16940
2900,29,17998
2862,29,18186
3012,29,18336
3010,29,18362
2890,29,18703
2930,29,19102
2971,29,19676
2840,29,20210
2830,29,20218
2959,29,20422
2820,29,20547
2869,29,20814
2979,29,21347
2860,29,21486
2870,29,21685
2909,29,22465
2819,29,22527
2839,29,22755
2861,29,22874
2810,29,23142
2960,29,23575
2832,29,23762
2972,29,23973
2989,29,24108
2961,29,24595
2851,29,25264
2822,29,25496
2882,29,25528
2990,29,26505
2919,29,26685
2910,29,26896
2850,29,29237
2902,29,29399
2992,29,29491
2940,29,29832
2879,29,29852
2981,29,29928
2821,29,32379
2809,29,32447
102,30,850
164,30,1565
132,30,1595
183,30,1662
34,30,1794
31,30,1871
41,30,1961
21,30,1973
122,30,2000
211,30,2241
73,30,3069
62,30,3475
194,30,3823
24,30,4305
152,30,4828
181,30,5000
84,30,5014
2,30,5685
172,30,5750
153,30,6821
44,30,7680
143,30,8168
22,30,8387
42,30,8697
134,30,8900
61,30,8999
202,30,9478
201,30,9614
91,30,9988
171,30,10744
64,30,11083
51,30,11686
162,30,11821
32,30,12227
193,30,12357
203,30,13808
111,30,14320
82,30,14342
113,30,14718
92,30,14727
131,30,15218
52,30,15354
124,30,15544
23,30,15613
103,30,15947
144,30,16059
213,30,16386
43,30,16403
142,30,16555
123,30,16810
101,30,17033
133,30,17384
33,30,17522
11,30,17891
112,30,18019
114,30,18100
212,30,20400
81,30,20451
74,30,20617
161,30,21058
182,30,21204
71,30,21480
54,30,22108
4,30,22198
72,30,22299
13,30,22695
174,30,23499
94,30,23698
3,30,24630
154,30,25605
104,30,26211
83,30,26251
192,30,26822
12,30,27112
63,30,27340
173,30,27943
121,30,27963
93,30,28155
191,30,28538
53,30,28660
184,30,29020
141,30,29755
1,30,31162
14,30,31422
214,30,32277
163,30,32329
204,30,32528
151,30,32650
2007,31,1254
2068,31,1906
2056,31,2122
1995,31,3069
2065,31,3077
2067,31,3194
2086,31,3571
1977,31,4070
2025,31,4884
1987,31,5401
1996,31,5590
1988,31,5630
2028,31,6055
2015,31,6350
1975,31,7069
2087,31,7103
2017,31,7882
2018,31,9047
2035,31,11564
2078,31,11663
2005,31,12352
2076,31,13177
2026,31,14857
1997,31,15312
2066,31,15719
2047,31,16160
2036,31,16196
2085,31,17259
1976,31,17262
2027,31,17702
2055,31,18652
2038,31,19946
1985,31,20750
2037,31,22421
2046,31,22813
2006,31,24405
2048,31,25175
2088,31,26711
1986,31,27501
1978,31,28303
1998,31,29127
2075,31,29378
2057,31,29392
2077,31,29495
2008,31,30287
2045,31,31994
2016,31,32072
