index,layer,feature_id
1,30,31162
2,30,5685
3,30,24630
4,30,22198
11,30,17891
12,30,27112
13,30,22695
14,30,31422
21,30,1973
22,30,8387
23,30,15613
24,30,4305
31,30,1871
32,30,12227
33,30,17522
34,30,1794
41,30,1961
42,30,8697
43,30,16403
44,30,7680
51,30,11686
52,30,15354
53,30,28660
54,30,22108
61,30,8999
62,30,3475
63,30,27340
64,30,11083
71,30,21480
72,30,22299
73,30,3069
74,30,20617
81,30,20451
82,30,14342
83,30,26251
84,30,5014
91,30,9988
92,30,14727
93,30,28155
94,30,23698
101,30,17033
102,30,850
103,30,15947
104,30,26211
111,30,14320
112,30,18019
113,30,14718
114,30,18100
121,30,27963
122,30,2000
123,30,16810
124,30,15544
131,30,15218
132,30,1595
133,30,17384
134,30,8900
141,30,29755
142,30,16555
143,30,8168
144,30,16059
151,30,32650
152,30,4828
153,30,6821
154,30,25605
161,30,21058
162,30,11821
163,30,32329
164,30,1565
171,30,10744
172,30,5750
173,30,27943
174,30,23499
181,30,5000
182,30,21204
183,30,1662
184,30,29020
191,30,28538
192,30,26822
193,30,12357
194,30,3823
201,30,9614
202,30,9478
203,30,13808
204,30,32528
