condition,n,bankruptcy_rate,composite,i_ev,i_lc,i_eb
fixed_BASE,50,0.0,0.048400000000000006,0.106,0.0,0.02
fixed_G,50,2.0,0.033900000000000007,0.07800000000000001,0.005,0.004
fixed_M,50,2.0,0.0507,0.08800000000000001,0.026666666666666665,0.025
fixed_R,50,0.0,0.0328,0.08199999999999999,0.0,0.0
fixed_W,50,2.0,0.049400000000000006,0.106,0.003333333333333333,0.02
fixed_P,50,2.0,0.05260000000000001,0.094,0.02,0.03
fixed_GM,50,4.0,0.0644,0.10600000000000001,0.04333333333333333,0.03
fixed_GR,50,0.0,0.0434,0.10599999999999998,0.003333333333333333,0.0
fixed_GW,50,4.0,0.05890000000000001,0.10599999999999998,0.015,0.04
fixed_GP,50,6.0,0.057999999999999996,0.08,0.04,0.04666666666666667
fixed_MR,50,0.0,0.0758,0.132,0.05,0.026666666666666665
fixed_MW,50,4.0,0.05140000000000001,0.10800000000000001,0.004,0.023333333333333334
fixed_MP,50,2.0,0.08472380952380952,0.15400000000000003,0.06222222222222222,0.014857142857142857
fixed_RW,50,2.0,0.0654,0.11600000000000002,0.04,0.02333333333333333
fixed_RP,50,0.0,0.0691,0.154,0.005,0.02
fixed_WP,50,2.0,0.0462,0.08800000000000001,0.02,0.016666666666666666
fixed_GMR,50,2.0,0.05885714285714286,0.13,0.002857142857142857,0.02
fixed_GMW,50,2.0,0.079,0.13,0.04,0.05
fixed_GMP,50,2.0,0.07399010989010989,0.158,0.02453846153846154,0.011428571428571429
fixed_GRW,50,2.0,0.062200000000000005,0.13799999999999998,0.0,0.023333333333333334
fixed_GRP,50,2.0,0.0625,0.12599999999999997,0.013000000000000001,0.027333333333333334
fixed_GWP,50,6.0,0.05800000000000001,0.09999999999999998,0.0,0.06
fixed_MRW,50,6.0,0.08835714285714286,0.13999999999999999,0.04833333333333333,0.05952380952380953
fixed_MRP,50,2.0,0.06860000000000001,0.13399999999999998,0.03,0.02
fixed_MWP,50,4.0,0.0599,0.09600000000000002,0.026666666666666665,0.045
fixed_RWP,50,4.0,0.0661,0.128,0.025,0.024666666666666667
fixed_GMRW,50,2.0,0.061200000000000004,0.10800000000000001,0.04,0.02
fixed_GMRP,50,2.0,0.06480000000000001,0.11200000000000002,0.04,0.026666666666666665
fixed_GMWP,50,6.0,0.10260000000000001,0.17800000000000002,0.04066666666666666,0.064
fixed_GRWP,50,4.0,0.07435714285714287,0.16,0.006666666666666666,0.027857142857142855
fixed_MRWP,50,2.0,0.05460000000000001,0.11400000000000002,0.01,0.02
fixed_GMRWP,50,4.0,0.09,0.15200000000000002,0.04566666666666666,0.05166666666666666
variable_BASE,50,6.0,0.06470000000000001,0.078,0.06666666666666667,0.045
variable_G,50,0.0,0.0433,0.08200000000000002,0.015,0.02
variable_M,50,4.0,0.054900000000000004,0.07600000000000001,0.04333333333333333,0.03833333333333333
variable_R,50,8.0,0.09666428571428572,0.138,0.062380952380952384,0.07583333333333334
variable_W,50,4.0,0.0776,0.088,0.08166666666666667,0.059666666666666666
variable_P,50,10.0,0.10077142857142858,0.13,0.06333333333333332,0.09923809523809524
variable_GM,50,2.0,0.06675,0.1,0.04416666666666666,0.045
variable_GR,50,12.0,0.08360000000000001,0.11599999999999999,0.04,0.084
variable_GW,50,2.0,0.0708,0.092,0.06333333333333332,0.05
variable_GP,50,4.0,0.08895714285714287,0.12399999999999999,0.0961904761904762,0.035
variable_MR,50,8.0,0.09519999999999999,0.138,0.021666666666666664,0.11166666666666666
variable_MW,50,8.0,0.12363333333333335,0.17,0.10177777777777777,0.08366666666666667
variable_MP,50,8.0,0.0882,0.11000000000000001,0.07833333333333334,0.069
variable_RW,50,8.0,0.0434,0.05600000000000001,0.01,0.06
variable_RP,50,6.0,0.07050000000000001,0.09,0.03666666666666667,0.07833333333333332
variable_WP,50,12.0,0.0984,0.106,0.07,0.11666666666666665
variable_GMR,50,8.0,0.0735,0.1,0.03166666666666666,0.08
variable_GMW,50,6.0,0.0825,0.11,0.06166666666666666,0.06666666666666667
variable_GMP,50,10.0,0.08,0.10400000000000001,0.03,0.098
variable_GRW,50,10.0,0.07985714285714286,0.1,0.04285714285714286,0.09
variable_GRP,50,4.0,0.10771688311688311,0.188,0.057999999999999996,0.050389610389610394
variable_GWP,50,10.0,0.09080000000000002,0.126,0.05,0.08466666666666667
variable_MRW,50,10.0,0.09105714285714285,0.10200000000000001,0.04666666666666666,0.12085714285714286
variable_MRP,50,2.0,0.10649090909090911,0.154,0.09596969696969698,0.05366666666666667
variable_MWP,50,2.0,0.095,0.14200000000000002,0.07400000000000001,0.05333333333333333
variable_RWP,50,10.0,0.12495714285714288,0.14600000000000002,0.10185714285714287,0.12
variable_GMRW,50,8.0,0.09487142857142856,0.12200000000000001,0.08833333333333332,0.06523809523809525
variable_GMRP,50,6.0,0.0816,0.10600000000000001,0.055,0.07566666666666666
variable_GMWP,50,6.0,0.10606428571428571,0.13,0.10738095238095237,0.07283333333333333
variable_GRWP,50,4.0,0.07725714285714286,0.126,0.05166666666666666,0.03785714285714285
variable_MRWP,50,10.0,0.12316428571428573,0.15200000000000002,0.13404761904761903,0.07383333333333333
variable_GMRWP,50,8.0,0.10373333333333333,0.12599999999999997,0.0961111111111111,0.08166666666666667
