feature,type,rank,word,tfidf,freq_diff,high_freq
L25-1026,safe,1,bet,0.08311021074477011,0.019774910835331894,0.10248750025933072
L25-1026,safe,2,choose,0.04754721521332681,0.010316610175297558,0.04118171822161366
L25-1026,safe,3,100,0.022176869608579113,0.015989427486501614,0.03317358561025705
L25-10427,safe,1,choice,0.04424540011944974,0.02036190308958545,0.05850042879895455
L25-10427,safe,2,100,0.025089254551575152,0.02456788245702437,0.03753011802180749
L25-10427,safe,3,amount,0.02232065579760977,0.016493651265215042,0.02913790991138155
L25-1130,safe,1,round,0.04329430966901136,0.02190022619435207,0.06606561669971195
L25-1130,safe,2,stop,0.013313855207469449,0.011923022461756645,0.030993977030414125
L25-11551,safe,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-11551,safe,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-11551,safe,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-11551,safe,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-11551,safe,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-11588,safe,1,balance,0.09970290390392089,0.014501662532996396,0.11477398484719503
L25-11588,safe,2,bet,0.08465167086364801,0.022853971526991215,0.10438835447348259
L25-11588,safe,3,round,0.04289974363543153,0.018230930489845094,0.06546352260151528
L25-11588,safe,4,choice,0.042268500293874155,0.014803812542796745,0.05588660934706734
L25-11588,safe,5,100,0.02546677190670943,0.024731201278136765,0.03809483272324849
L25-1173,risky,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-1173,risky,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-1173,risky,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-1173,risky,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-1173,risky,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-12115,safe,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-12115,safe,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-12115,safe,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-12115,safe,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-12115,safe,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-12172,safe,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-12172,safe,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-12172,safe,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-12172,safe,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-12172,safe,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-12242,safe,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-12242,safe,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-12242,safe,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-12242,safe,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-12242,safe,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-13322,safe,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-13322,safe,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-13322,safe,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-13322,safe,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-13322,safe,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-13464,safe,1,choice,0.04349410177938972,0.018504638731868937,0.05750707638422221
L25-13464,safe,2,100,0.02530718349336158,0.025255322577643995,0.03785611012686582
L25-13464,safe,3,amount,0.02193261783879414,0.015561789170562243,0.028631356018490237
L25-13693,safe,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-13693,safe,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-13693,safe,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-13693,safe,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-13693,safe,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-13839,risky,1,round,0.04291027851184267,0.020234889331075374,0.06547959845795641
L25-13839,risky,2,120,0.02210734955314271,0.010629629038973631,0.017424329172869193
L25-13839,risky,3,stop,0.01376456554858679,0.013817423867454305,0.03204320775602122
L25-14511,safe,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-14511,safe,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-14511,safe,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-14511,safe,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-14511,safe,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-15214,safe,1,choice,0.04460795937658828,0.02111647693582005,0.05897979777178278
L25-15214,safe,2,100,0.02299082545380909,0.018410604383391142,0.034391153030334236
L25-15214,safe,3,amount,0.021107409363057106,0.01335536412039853,0.027554109433884554
L25-15408,safe,1,current,0.09437578050781217,0.07533410779308258,0.07533410779308258
L25-15408,safe,2,balance,0.0928839303053234,0.10692425588410438,0.10692425588410438
L25-15408,safe,3,bet,0.07461979771034992,0.09201753272743247,0.09201753272743247
L25-15408,safe,4,win,0.05800468438235443,0.04600876636371624,0.04600876636371624
L25-15408,safe,5,game,0.05355092814308242,0.050274803049679316,0.050274803049679316
L25-17077,risky,1,120,0.022042721301623297,0.011068618470926214,0.01737339118386991
L25-17077,risky,2,stop,0.01314827917043152,0.01144201539936425,0.03060852444671309
L25-17105,risky,1,round,0.041707290148075046,0.016751419661489256,0.0636438798902627
L25-17105,risky,2,stop,0.013479830915811673,0.0126680741227124,0.03138036002856177
L25-17160,risky,1,result,0.0325148810451932,0.011323946639564458,0.048637846954863784
