word,n_features,idf,avg_freq,max_freq,top_features
history,13,3.5240955179853093,0.015050375009385683,0.017633390518795197,"L29-13909(0.018), L30-8068(0.017), L30-12795(0.016)"
120,124,1.2687633098418092,0.01737166561875869,0.018194449660144954,"L28-23866(0.018), L26-4733(0.018), L26-879(0.018)"
win,125,1.260731138144545,0.04600876636371622,0.04600876636371624,"L25-11551(0.046), L25-1173(0.046), L25-12115(0.046)"
130,125,1.260731138144545,0.013530267383855444,0.013530267383855443,"L25-11551(0.014), L25-1173(0.014), L25-12115(0.014)"
machine,126,1.252762968495368,0.016818468101145727,0.021496241851188386,"L29-28453(0.021), L25-11551(0.017), L25-1173(0.017)"
your,126,1.252762968495368,0.020452121696745835,0.02539905279775478,"L26-17175(0.025), L25-11551(0.020), L25-1173(0.020)"
current,126,1.252762968495368,0.07537806657244144,0.08087291399229782,"L29-13425(0.081), L25-11551(0.075), L25-1173(0.075)"
slot,129,1.2292324710851739,0.018837396192195332,0.024026297807900422,"L29-28453(0.024), L31-4059(0.024), L26-9466(0.023)"
won,136,1.176389989710794,0.019145412969211267,0.027280874090924757,"L29-19647(0.027), L31-32063(0.027), L30-461(0.026)"
lost,138,1.1617911902896414,0.01674119024781897,0.024264984662048048,"L29-19647(0.024), L30-461(0.024), L25-2106(0.023)"
choose,139,1.154570942316154,0.03630261623025443,0.043670239476372705,"L31-32063(0.044), L29-21492(0.042), L28-15265(0.042)"
loss,151,1.0717650386319217,0.0362214929108682,0.049819637515396795,"L30-8068(0.050), L29-13909(0.050), L27-32304(0.048)"
game,152,1.0651643546005696,0.05126596381814279,0.05850498859500966,"L29-16698(0.059), L31-32063(0.058), L29-19647(0.058)"
balance,185,0.8686890503685212,0.11073573437730559,0.13665877652066277,"L29-13909(0.137), L30-8068(0.134), L30-12795(0.130)"
bet,196,0.8109302162163288,0.09721791863771002,0.12704557452049975,"L30-8068(0.127), L29-13909(0.127), L30-27112(0.121)"
amount,205,0.7660348963084379,0.023593216290519883,0.03086897417128516,"L30-20172(0.031), L31-17787(0.031), L31-792(0.030)"
choice,207,0.756326082181477,0.051519359385147005,0.06007652800229175,"L30-21705(0.060), L30-23955(0.060), L28-22933(0.060)"
first,218,0.7045498126577571,0.03404510052365524,0.04569617842115288,"L31-32063(0.046), L29-19647(0.045), L30-461(0.045)"
result,226,0.6685098761745601,0.04676118453497834,0.06333367800641092,"L29-19647(0.063), L30-461(0.061), L31-32063(0.061)"
100,226,0.6685098761745601,0.029766405103912676,0.038808760116405036,"L31-4828(0.039), L30-8697(0.039), L29-13425(0.039)"
round,229,0.6553228718926063,0.062278983133257915,0.11659319420617169,"L29-13909(0.117), L30-8068(0.114), L30-12795(0.109)"
stop,287,0.4295626596872249,0.028794142289010234,0.03356212406361858,"L26-26141(0.034), L29-2086(0.033), L31-6396(0.033)"
lose,1,0.0,0.012363422278402106,0.012363422278402106,L31-32063(0.012)
initial,1,0.0,0.01371404824158889,0.01371404824158889,L31-32063(0.014)
funds,1,0.0,0.013488943914391092,0.013488943914391092,L31-32063(0.013)
