feature,layer,feature_id,delta_bankruptcy_safe,delta_bankruptcy_risky,baseline_bankruptcy_rate,balance_mean,balance_max,goal_mean,goal_max,probability_mean,probability_max,choice_mean,choice_max,dominant_position,dominant_activation
L31-22745,31,22745,0.2333333333333334,0.0666666666666666,0.5333333333333333,0.18365226089954376,0.7497044205665588,0.4942901849746704,0.6648510098457336,0.1668810725212097,0.4653155207633972,0.005359561741352081,0.05359561741352081,goal,0.4942901849746704
L31-16925,31,16925,0.1999999999999999,0.0999999999999999,0.4333333333333333,0.0,0.0,0.0,0.0,0.0034369170665740968,0.0229131281375885,0.0014134801924228669,0.01091766357421875,probability,0.0034369170665740968
L31-32310,31,32310,0.1666666666666666,0.2333333333333332,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balance,0.0
L31-7824,31,7824,0.1666666666666666,0.2333333333333333,0.3333333333333333,0.6792671412229538,1.6212600469589233,0.10604868978261947,0.7166575193405151,0.11212487518787384,0.4938870668411255,0.0,0.0,balance,0.6792671412229538
L31-5891,31,5891,0.1666666666666666,0.1666666666666666,0.4333333333333333,0.1887130245566368,0.5724319219589233,0.03728403002023697,0.09675127267837524,0.12406764924526215,0.6000563502311707,0.02639136016368866,0.2639136016368866,balance,0.1887130245566368
L31-4059,31,4059,0.1666666666666666,0.2,0.3666666666666666,0.007116419821977615,0.05370575189590454,0.26789432764053345,0.4007769525051117,0.040278032422065735,0.1686088889837265,0.23370692431926726,0.623052716255188,goal,0.26789432764053345
L31-15533,31,15533,0.1333333333333333,0.0666666666666666,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balance,0.0
L31-9826,31,9826,0.1333333333333333,0.1999999999999999,0.4333333333333333,0.0,0.0,0.263076114654541,0.6637563109397888,0.0032410085201263427,0.03241008520126343,0.0,0.0,goal,0.263076114654541
L31-21440,31,21440,0.1333333333333333,0.1666666666666666,0.4666666666666667,0.04022636413574219,0.21621569991111755,0.33256486654281614,0.43343859910964966,0.03780395090579987,0.1696094274520874,0.0025664597749710085,0.009043589234352112,goal,0.33256486654281614
L31-14016,31,14016,0.0666666666666666,0.1999999999999999,0.5,0.15788682252168657,0.3882545530796051,0.4610720694065094,0.8032349944114685,0.5319635406136513,1.0029503107070923,0.1496380791068077,0.4638711214065552,probability,0.5319635406136513
L31-8369,31,8369,0.0666666666666666,0.2666666666666666,0.4,0.02535751461982727,0.14477044343948364,0.0,0.0,0.15422290563583374,0.3403666019439697,0.017474687099456786,0.045319557189941406,probability,0.15422290563583374
