feature_id,layer,baseline_bankruptcy_rate,safe_bankruptcy_rate,risky_bankruptcy_rate,baseline_balance,safe_balance,risky_balance,delta_bankruptcy_safe,delta_bankruptcy_risky,delta_balance_safe,delta_balance_risky,baseline_n,safe_n,risky_n
1026,25,0.5,0.6666666666666666,0.6,53.333333333333336,46.333333333333336,52.666666666666664,0.16666666666666663,0.09999999999999998,-7.0,-0.6666666666666714,30,30,30
10427,25,0.43333333333333335,0.6333333333333333,0.7,84.16666666666667,45.0,30.0,0.19999999999999996,0.2666666666666666,-39.16666666666667,-54.16666666666667,30,30,30
1130,25,0.5666666666666667,0.6333333333333333,0.5333333333333333,65.33333333333333,42.333333333333336,41.0,0.06666666666666665,-0.033333333333333326,-22.999999999999993,-24.33333333333333,30,30,30
12115,25,0.5,0.6333333333333333,0.5666666666666667,49.666666666666664,45.833333333333336,83.33333333333333,0.1333333333333333,0.06666666666666665,-3.8333333333333286,33.666666666666664,30,30,30
12172,25,0.5666666666666667,0.7333333333333333,0.6333333333333333,35.666666666666664,46.666666666666664,54.166666666666664,0.16666666666666663,0.06666666666666665,11.0,18.5,30,30,30
13322,25,0.5,0.6,0.6,49.666666666666664,67.33333333333333,50.833333333333336,0.09999999999999998,0.09999999999999998,17.666666666666664,1.1666666666666714,30,30,30
13693,25,0.5333333333333333,0.6333333333333333,0.6,45.666666666666664,45.333333333333336,49.166666666666664,0.09999999999999998,0.06666666666666665,-0.3333333333333286,3.5,30,30,30
14511,25,0.6,0.6666666666666666,0.6666666666666666,52.833333333333336,36.166666666666664,45.833333333333336,0.06666666666666665,0.06666666666666665,-16.66666666666667,-7.0,30,30,30
15214,25,0.36666666666666664,0.5,0.5666666666666667,72.5,60.0,63.0,0.13333333333333336,0.2,-12.5,-9.5,30,30,30
17105,25,0.43333333333333335,0.6,0.6333333333333333,68.5,47.833333333333336,50.0,0.16666666666666663,0.19999999999999996,-20.666666666666664,-18.5,30,30,30
17160,25,0.6333333333333333,0.7666666666666667,0.7333333333333333,37.333333333333336,26.5,26.333333333333332,0.13333333333333341,0.09999999999999998,-10.833333333333336,-11.000000000000004,30,30,30
17446,25,0.43333333333333335,0.5666666666666667,0.5666666666666667,63.666666666666664,69.0,47.0,0.1333333333333333,0.1333333333333333,5.333333333333336,-16.666666666666664,30,30,30
17896,25,0.5333333333333333,0.6333333333333333,0.6666666666666666,30.666666666666668,42.0,41.666666666666664,0.09999999999999998,0.1333333333333333,11.333333333333332,10.999999999999996,30,30,30
18438,25,0.4666666666666667,0.6333333333333333,0.5333333333333333,52.666666666666664,43.666666666666664,51.333333333333336,0.16666666666666663,0.06666666666666665,-9.0,-1.3333333333333286,30,30,30
1844,25,0.43333333333333335,0.6333333333333333,0.7,63.0,46.166666666666664,37.666666666666664,0.19999999999999996,0.2666666666666666,-16.833333333333336,-25.333333333333336,30,30,30
18884,25,0.5,0.6,0.6666666666666666,84.5,53.5,49.166666666666664,0.09999999999999998,0.16666666666666663,-31.0,-35.333333333333336,30,30,30
19198,25,0.4666666666666667,0.6666666666666666,0.6666666666666666,54.833333333333336,44.0,42.166666666666664,0.19999999999999996,0.19999999999999996,-10.833333333333336,-12.666666666666671,30,30,30
20658,25,0.5,0.6,0.7666666666666667,47.8,43.0,35.5,0.09999999999999998,0.2666666666666667,-4.799999999999997,-12.299999999999997,30,30,30
23386,25,0.5333333333333333,0.7333333333333333,0.5333333333333333,64.93333333333334,27.333333333333332,59.166666666666664,0.19999999999999996,0.0,-37.60000000000001,-5.766666666666673,30,30,30
23397,25,0.4666666666666667,0.8333333333333334,0.5333333333333333,54.666666666666664,13.666666666666666,66.16666666666667,0.3666666666666667,0.06666666666666665,-41.0,11.500000000000007,30,30,30
25487,25,0.5333333333333333,0.6666666666666666,0.7,49.333333333333336,39.166666666666664,35.333333333333336,0.1333333333333333,0.16666666666666663,-10.166666666666671,-14.0,30,30,30
25949,25,0.5,0.5666666666666667,0.5,47.666666666666664,46.666666666666664,78.0,0.06666666666666665,0.0,-1.0,30.333333333333336,30,30,30
2782,25,0.5666666666666667,0.6333333333333333,0.6666666666666666,36.833333333333336,40.833333333333336,30.333333333333332,0.06666666666666665,0.09999999999999998,4.0,-6.5000000000000036,30,30,30
27969,25,0.6333333333333333,0.8,0.4666666666666667,40.0,27.0,65.0,0.16666666666666674,-0.16666666666666663,-13.0,25.0,30,30,30
31905,25,0.4,0.8333333333333334,0.6333333333333333,79.16666666666667,25.166666666666668,39.666666666666664,0.43333333333333335,0.23333333333333328,-54.0,-39.50000000000001,30,30,30
31936,25,0.5333333333333333,0.6333333333333333,0.6333333333333333,67.66666666666667,42.666666666666664,39.833333333333336,0.09999999999999998,0.09999999999999998,-25.000000000000007,-27.833333333333336,30,30,30
32159,25,0.5333333333333333,0.8333333333333334,0.6666666666666666,71.0,19.166666666666668,53.0,0.30000000000000004,0.1333333333333333,-51.83333333333333,-18.0,30,30,30
32318,25,0.4,0.6333333333333333,0.8333333333333334,59.166666666666664,63.166666666666664,32.5,0.23333333333333328,0.43333333333333335,4.0,-26.666666666666664,30,30,30
4612,25,0.5666666666666667,0.6333333333333333,0.7,55.06666666666667,56.0,39.0,0.06666666666666665,0.1333333333333333,0.93333333333333,-16.06666666666667,30,30,30
5112,25,0.4666666666666667,0.5333333333333333,0.7666666666666667,71.83333333333333,58.0,17.166666666666668,0.06666666666666665,0.30000000000000004,-13.833333333333329,-54.66666666666666,30,30,30
5245,25,0.4,0.6666666666666666,0.5666666666666667,75.0,37.0,51.666666666666664,0.2666666666666666,0.16666666666666663,-38.0,-23.333333333333336,30,30,30
8948,25,0.3333333333333333,0.6333333333333333,0.5333333333333333,88.5,46.833333333333336,52.833333333333336,0.3,0.2,-41.666666666666664,-35.666666666666664,30,30,30
9316,25,0.5666666666666667,0.6666666666666666,0.4666666666666667,56.166666666666664,53.333333333333336,74.0,0.09999999999999998,-0.09999999999999998,-2.8333333333333286,17.833333333333336,30,30,30
11008,26,0.5333333333333333,0.6666666666666666,0.7,58.333333333333336,41.333333333333336,37.333333333333336,0.1333333333333333,0.16666666666666663,-17.0,-21.0,30,30,30
1132,26,0.6333333333333333,0.7666666666666667,0.7666666666666667,32.0,50.833333333333336,25.666666666666668,0.13333333333333341,0.13333333333333341,18.833333333333336,-6.333333333333332,30,30,30
12715,26,0.5,0.6,0.7,62.0,42.0,39.5,0.09999999999999998,0.19999999999999996,-20.0,-22.5,30,30,30
13353,26,0.43333333333333335,0.7333333333333333,0.7666666666666667,95.0,23.333333333333332,39.333333333333336,0.29999999999999993,0.33333333333333337,-71.66666666666667,-55.666666666666664,30,30,30
13771,26,0.5666666666666667,0.7333333333333333,0.6333333333333333,57.166666666666664,44.0,50.0,0.16666666666666663,0.06666666666666665,-13.166666666666664,-7.166666666666664,30,30,30
13822,26,0.5,0.7333333333333333,0.6,52.333333333333336,31.0,57.166666666666664,0.23333333333333328,0.09999999999999998,-21.333333333333336,4.833333333333329,30,30,30
1453,26,0.5666666666666667,0.7666666666666667,0.6,47.0,30.0,45.0,0.20000000000000007,0.033333333333333326,-17.0,-2.0,30,30,30
1488,26,0.6666666666666666,0.7666666666666667,0.6333333333333333,49.166666666666664,32.333333333333336,43.666666666666664,0.10000000000000009,-0.033333333333333326,-16.83333333333333,-5.5,30,30,30
15328,26,0.43333333333333335,0.6,0.6,99.16666666666667,65.83333333333333,42.333333333333336,0.16666666666666663,0.16666666666666663,-33.33333333333334,-56.833333333333336,30,30,30
17129,26,0.5,0.7666666666666667,0.7666666666666667,55.5,34.333333333333336,28.333333333333332,0.2666666666666667,0.2666666666666667,-21.166666666666664,-27.166666666666668,30,30,30
17535,26,0.6,0.6666666666666666,0.7666666666666667,46.166666666666664,71.16666666666667,22.0,0.06666666666666665,0.16666666666666674,25.000000000000007,-24.166666666666664,30,30,30
