feature_id,layer,baseline_bankruptcy_rate,safe_bankruptcy_rate,risky_bankruptcy_rate,baseline_balance,safe_balance,risky_balance,delta_bankruptcy_safe,delta_bankruptcy_risky,delta_balance_safe,delta_balance_risky,baseline_n,safe_n,risky_n
7254,30,0.36666666666666664,0.8666666666666667,0.6333333333333333,94.33333333333333,17.666666666666668,48.666666666666664,0.5,0.26666666666666666,-76.66666666666666,-45.666666666666664,30,30,30
3661,28,0.43333333333333335,0.8,0.6333333333333333,89.66666666666667,14.666666666666666,35.666666666666664,0.3666666666666667,0.19999999999999996,-75.0,-54.00000000000001,30,30,30
13353,26,0.43333333333333335,0.7333333333333333,0.7666666666666667,95.0,23.333333333333332,39.333333333333336,0.29999999999999993,0.33333333333333337,-71.66666666666667,-55.666666666666664,30,30,30
2634,30,0.43333333333333335,0.8333333333333334,0.7333333333333333,81.83333333333333,12.833333333333334,32.666666666666664,0.4,0.29999999999999993,-69.0,-49.166666666666664,30,30,30
21091,29,0.36666666666666664,0.7333333333333333,0.7,98.33333333333333,38.333333333333336,38.5,0.36666666666666664,0.3333333333333333,-59.99999999999999,-59.83333333333333,30,30,30
6902,28,0.3333333333333333,0.6333333333333333,0.6,94.83333333333333,36.5,52.166666666666664,0.3,0.26666666666666666,-58.33333333333333,-42.666666666666664,30,30,30
8801,29,0.4666666666666667,0.8333333333333334,0.6,79.0,20.666666666666668,71.0,0.3666666666666667,0.1333333333333333,-58.33333333333333,-8.0,30,30,30
8916,28,0.26666666666666666,0.7333333333333333,0.7,82.5,24.5,28.5,0.4666666666666666,0.4333333333333333,-58.0,-54.0,30,30,30
10751,26,0.6,0.5,0.7,38.333333333333336,95.33333333333333,41.166666666666664,-0.09999999999999998,0.09999999999999998,56.99999999999999,2.8333333333333286,30,30,30
31905,25,0.4,0.8333333333333334,0.6333333333333333,79.16666666666667,25.166666666666668,39.666666666666664,0.43333333333333335,0.23333333333333328,-54.0,-39.50000000000001,30,30,30
16368,29,0.4,0.7333333333333333,0.6666666666666666,78.66666666666667,25.166666666666668,45.0,0.33333333333333326,0.2666666666666666,-53.5,-33.66666666666667,30,30,30
32159,25,0.5333333333333333,0.8333333333333334,0.6666666666666666,71.0,19.166666666666668,53.0,0.30000000000000004,0.1333333333333333,-51.83333333333333,-18.0,30,30,30
5040,29,0.5,0.6666666666666666,0.7333333333333333,89.2,38.333333333333336,29.666666666666668,0.16666666666666663,0.23333333333333328,-50.86666666666667,-59.53333333333333,30,30,30
23764,26,0.4,0.7333333333333333,0.7,81.66666666666667,32.333333333333336,46.0,0.33333333333333326,0.29999999999999993,-49.333333333333336,-35.66666666666667,30,30,30
11424,29,0.36666666666666664,0.6,0.6333333333333333,94.83333333333333,45.63333333333333,52.166666666666664,0.23333333333333334,0.26666666666666666,-49.199999999999996,-42.666666666666664,30,30,30
29030,28,0.4666666666666667,0.6666666666666666,0.6666666666666666,85.33333333333333,37.0,46.166666666666664,0.19999999999999996,0.19999999999999996,-48.33333333333333,-39.166666666666664,30,30,30
24738,28,0.5666666666666667,0.7,0.6666666666666666,77.5,30.0,41.833333333333336,0.1333333333333333,0.09999999999999998,-47.5,-35.666666666666664,30,30,30
18857,28,0.5333333333333333,0.36666666666666664,0.7666666666666667,53.0,100.33333333333333,39.166666666666664,-0.16666666666666669,0.2333333333333334,47.33333333333333,-13.833333333333336,30,30,30
6387,30,0.36666666666666664,0.7666666666666667,0.5666666666666667,82.66666666666667,35.666666666666664,63.833333333333336,0.4000000000000001,0.2,-47.00000000000001,-18.833333333333336,30,30,30
28237,28,0.5333333333333333,0.7666666666666667,0.6666666666666666,74.5,28.166666666666668,40.166666666666664,0.2333333333333334,0.1333333333333333,-46.33333333333333,-34.333333333333336,30,30,30
