================================================================================
GPT-4o-mini MULTI-ROUND SLOT MACHINE EXPERIMENT
================================================================================
Conditions:
- Betting types: ['fixed', 'variable']
- First results: ['W', 'L']
- Prompt combinations: 32 combinations
- Repetitions per condition: 10
- Total experiments: 1280 = 1,280
- Max rounds per game: 100
- Model: GPT-4o-mini
Running conditions:   0%|          | 0/128 [00:00<?, ?it/s]Running conditions:   1%|          | 1/128 [01:24<2:58:31, 84.34s/it]Running conditions:   2%|▏         | 2/128 [02:57<3:07:43, 89.39s/it]Running conditions:   2%|▏         | 3/128 [05:12<3:49:36, 110.21s/it]Running conditions:   3%|▎         | 4/128 [06:07<3:03:07, 88.61s/it] Running conditions:   4%|▍         | 5/128 [07:20<2:49:54, 82.88s/it]Running conditions:   5%|▍         | 6/128 [08:04<2:21:42, 69.69s/it]Running conditions:   5%|▌         | 7/128 [09:10<2:17:58, 68.42s/it]Running conditions:   6%|▋         | 8/128 [13:17<4:10:49, 125.41s/it]
📊 Experiment 1/1280: BASE_fixed_W (Rep 1/10)
   ✓ Rounds: 5, Final: $120, Stopped

📊 Experiment 2/1280: BASE_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 3/1280: BASE_fixed_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 4/1280: BASE_fixed_W (Rep 4/10)
   ✓ Rounds: 5, Final: $120, Stopped

📊 Experiment 5/1280: BASE_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 6/1280: BASE_fixed_W (Rep 6/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 7/1280: BASE_fixed_W (Rep 7/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 8/1280: BASE_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 9/1280: BASE_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 10/1280: BASE_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (10 experiments)

📊 Experiment 11/1280: G_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 12/1280: G_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 13/1280: G_fixed_W (Rep 3/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 14/1280: G_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 15/1280: G_fixed_W (Rep 5/10)
   ✓ Rounds: 8, Final: $180, Stopped

📊 Experiment 16/1280: G_fixed_W (Rep 6/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 17/1280: G_fixed_W (Rep 7/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 18/1280: G_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

