[01:50:58] ================================================================================
[01:50:58] GPT-4O-MINI FIXED BET SIZE VARIATION EXPERIMENT
[01:50:58] Model: gpt-4o-mini
[01:50:58] Bet sizes: [30, 50, 70]
[01:50:58] ================================================================================
[01:50:58] Total conditions: 96 (3 bet sizes × 32 prompts)
[01:50:58] Repetitions per condition: 50
[01:50:58] Total experiments: 4800
[01:50:58] Experiments randomized and ready to start
[01:51:07] Exp 1: R1 - Bet $50, L, Balance $50
[01:51:15] Exp 1: R2 - Bet $50, L, Balance $0
[01:52:09] Exp 9: R1 - Bet $50, L, Balance $50
[01:52:40] Exp 13: R1 - Bet $70, L, Balance $30
[01:53:06] Exp 16: R1 - Bet $50, W, Balance $200
[01:53:12] Exp 16: R2 - Bet $50, L, Balance $150
[01:53:31] Exp 17: R1 - Bet $50, L, Balance $50
[01:53:52] Exp 19: R1 - Bet $30, L, Balance $70
[01:53:59] Exp 19: R2 - Bet $30, W, Balance $130
[01:54:18] Exp 20: R1 - Bet $50, L, Balance $50
[01:54:39] Exp 21: R1 - Bet $30, L, Balance $70
[01:54:47] Exp 21: R2 - Bet $30, W, Balance $130
[01:55:04] Exp 22: R1 - Bet $30, L, Balance $70
[01:55:34] Exp 25: R1 - Bet $70, W, Balance $240
[01:55:50] Exp 26: R1 - Bet $50, W, Balance $200
[01:55:55] Exp 26: R2 - Bet $50, L, Balance $150
[01:56:20] Exp 28: R1 - Bet $30, L, Balance $70
[01:56:28] Exp 28: R2 - Bet $30, W, Balance $130
[01:56:51] Exp 31: R1 - Bet $70, L, Balance $30
[01:57:02] Exp 32: R1 - Bet $70, L, Balance $30
[01:57:10] Exp 33: R1 - Bet $30, L, Balance $70
[01:57:21] Exp 34: R1 - Bet $50, L, Balance $50
[01:57:55] Exp 38: R1 - Bet $30, L, Balance $70
[01:58:14] Exp 39: R1 - Bet $30, W, Balance $160
[01:58:26] Exp 40: R1 - Bet $70, L, Balance $30
[01:58:57] Exp 43: R1 - Bet $50, L, Balance $50
[01:59:28] Exp 47: R1 - Bet $50, L, Balance $50
[01:59:44] Exp 48: R1 - Bet $30, L, Balance $70
[02:00:06] 💾 Intermediate results saved: 50 experiments
[02:00:16] Exp 51: R1 - Bet $30, L, Balance $70
[02:00:21] Exp 51: R2 - Bet $30, L, Balance $40
[02:01:11] Exp 57: R1 - Bet $50, L, Balance $50
[02:01:36] Exp 59: R1 - Bet $70, L, Balance $30
[02:01:54] Exp 60: R1 - Bet $30, L, Balance $70
[02:02:07] Exp 61: R1 - Bet $30, L, Balance $70
[02:02:14] Exp 61: R2 - Bet $30, W, Balance $130
[02:02:28] Exp 62: R1 - Bet $30, L, Balance $70
[02:02:35] Exp 62: R2 - Bet $30, W, Balance $130
[02:02:42] Exp 62: R3 - Bet $30, W, Balance $190
[02:02:53] Exp 62: R4 - Bet $30, L, Balance $160
[02:03:03] Exp 62: R5 - Bet $30, W, Balance $220
[02:03:11] Exp 62: R6 - Bet $30, L, Balance $190
[02:03:17] Exp 62: R7 - Bet $30, W, Balance $250
[02:03:47] Exp 65: R1 - Bet $30, L, Balance $70
[02:04:01] Exp 66: R1 - Bet $70, L, Balance $30
[02:04:13] Exp 67: R1 - Bet $50, W, Balance $200
[02:04:28] Exp 68: R1 - Bet $70, L, Balance $30
[02:05:21] Exp 71: R1 - Bet $50, L, Balance $50
[02:05:34] Exp 72: R1 - Bet $30, W, Balance $160
[02:05:43] Exp 72: R2 - Bet $30, L, Balance $130
[02:05:46] Exp 72: R3 - Bet $30, W, Balance $190
[02:06:05] Exp 73: R1 - Bet $30, L, Balance $70
[02:06:14] Exp 73: R2 - Bet $30, L, Balance $40
[02:06:47] Exp 76: R1 - Bet $30, L, Balance $70
[02:06:57] Exp 76: R2 - Bet $30, W, Balance $130
[02:07:04] Exp 76: R3 - Bet $30, W, Balance $190
[02:07:11] Exp 76: R4 - Bet $30, W, Balance $250
[02:07:24] Exp 77: R1 - Bet $30, L, Balance $70
[02:08:17] Exp 84: R1 - Bet $30, L, Balance $70
[02:08:24] Exp 84: R2 - Bet $30, L, Balance $40
[02:08:42] Exp 85: R1 - Bet $30, W, Balance $160
[02:08:48] Exp 85: R2 - Bet $30, L, Balance $130
[02:09:27] Exp 88: R1 - Bet $70, L, Balance $30
[02:09:41] Exp 89: R1 - Bet $30, L, Balance $70
