[23:59:36] ================================================================================
[23:59:36] GPT-4O-MINI FIXED BET SIZE VARIATION EXPERIMENT
[23:59:36] Model: gpt-4o-mini
[23:59:36] Bet sizes: [30, 50, 70]
[23:59:36] ================================================================================
[23:59:36] Total conditions: 96 (3 bet sizes × 32 prompts)
[23:59:36] Repetitions per condition: 50
[23:59:36] Total experiments: 4800
[23:59:36] Experiments randomized and ready to start
[23:59:41] Exp 1: R1 - Bet $50, L, Balance $50
[23:59:59] Exp 3: R1 - Bet $50, W, Balance $200
[00:00:09] Exp 4: R1 - Bet $30, L, Balance $70
[00:00:16] Exp 4: R2 - Bet $30, L, Balance $40
[00:00:31] Exp 6: R1 - Bet $70, W, Balance $240
[00:00:43] Exp 7: R1 - Bet $30, L, Balance $70
[00:00:50] Exp 7: R2 - Bet $30, L, Balance $40
[00:01:20] Exp 10: R1 - Bet $30, W, Balance $160
[00:01:26] Exp 10: R2 - Bet $30, L, Balance $130
[00:01:40] Exp 11: R1 - Bet $30, L, Balance $70
[00:01:52] Exp 12: R1 - Bet $30, L, Balance $70
[00:02:56] Exp 20: R1 - Bet $50, L, Balance $50
[00:03:09] Exp 21: R1 - Bet $30, L, Balance $70
[00:03:56] Exp 28: R1 - Bet $50, L, Balance $50
[00:04:18] Exp 30: R1 - Bet $70, L, Balance $30
[00:04:18] Exp 30: Balance $30 < Bet $70, game ends
[00:04:23] Exp 31: R1 - Bet $50, L, Balance $50
[00:04:40] Exp 33: R1 - Bet $70, L, Balance $30
[00:04:40] Exp 33: Balance $30 < Bet $70, game ends
[00:05:00] Exp 36: R1 - Bet $30, L, Balance $70
[00:05:15] Exp 37: R1 - Bet $30, L, Balance $70
[00:05:26] Exp 38: R1 - Bet $30, L, Balance $70
[00:05:31] Exp 38: R2 - Bet $30, W, Balance $130
[00:05:51] Exp 40: R1 - Bet $50, L, Balance $50
[00:05:59] Exp 40: R2 - Bet $50, L, Balance $0
[00:06:17] Exp 42: R1 - Bet $50, L, Balance $50
[00:06:34] Exp 43: R1 - Bet $50, W, Balance $200
[00:06:56] Exp 45: R1 - Bet $50, L, Balance $50
[00:07:19] Exp 48: R1 - Bet $50, L, Balance $50
[00:07:44] 💾 Intermediate results saved: 50 experiments
[00:08:06] Exp 54: R1 - Bet $30, W, Balance $160
[00:08:17] Exp 55: R1 - Bet $30, L, Balance $70
[00:08:32] Exp 56: R1 - Bet $30, L, Balance $70
[00:09:18] Exp 62: R1 - Bet $70, L, Balance $30
[00:09:18] Exp 62: Balance $30 < Bet $70, game ends
[00:09:34] Exp 64: R1 - Bet $30, L, Balance $70
[00:09:47] Exp 65: R1 - Bet $30, L, Balance $70
[00:11:00] Exp 73: R1 - Bet $70, L, Balance $30
[00:11:00] Exp 73: Balance $30 < Bet $70, game ends
[00:11:08] Exp 74: R1 - Bet $30, W, Balance $160
[00:11:23] Exp 75: R1 - Bet $50, L, Balance $50
[00:11:32] Exp 75: R2 - Bet $50, W, Balance $150
[00:11:48] Exp 76: R1 - Bet $50, W, Balance $200
[00:12:04] Exp 77: R1 - Bet $50, W, Balance $200
[00:12:11] Exp 77: R2 - Bet $50, L, Balance $150
[00:12:26] Exp 78: R1 - Bet $30, L, Balance $70
[00:12:33] Exp 78: R2 - Bet $30, L, Balance $40
[00:12:45] Exp 79: R1 - Bet $30, W, Balance $160
[00:12:58] Exp 79: R2 - Bet $30, L, Balance $130
[00:13:10] Exp 80: R1 - Bet $30, L, Balance $70
[00:13:34] Exp 82: R1 - Bet $50, L, Balance $50
[00:13:46] Exp 83: R1 - Bet $30, L, Balance $70
[00:13:54] Exp 83: R2 - Bet $30, W, Balance $130
[00:14:09] Exp 84: R1 - Bet $30, W, Balance $160
[00:14:23] Exp 85: R1 - Bet $50, L, Balance $50
[00:14:54] Exp 88: R1 - Bet $30, W, Balance $160
[00:15:04] Exp 88: R2 - Bet $30, W, Balance $220
[00:15:22] Exp 89: R1 - Bet $70, L, Balance $30
[00:15:22] Exp 89: Balance $30 < Bet $70, game ends
[00:15:37] Exp 91: R1 - Bet $30, L, Balance $70
[00:16:10] Exp 95: R1 - Bet $70, L, Balance $30
[00:16:10] Exp 95: Balance $30 < Bet $70, game ends
[00:16:26] Exp 97: R1 - Bet $30, W, Balance $160
[00:16:34] Exp 97: R2 - Bet $30, W, Balance $220
[00:16:42] Exp 97: R3 - Bet $30, L, Balance $190
[00:16:47] Exp 97: R4 - Bet $30, W, Balance $250
[00:17:16] 💾 Intermediate results saved: 100 experiments
[00:17:25] Exp 101: R1 - Bet $50, L, Balance $50
[00:17:43] Exp 103: R1 - Bet $30, L, Balance $70
[00:18:14] Exp 105: R1 - Bet $30, L, Balance $70
[00:18:21] Exp 105: R2 - Bet $30, L, Balance $40
[00:18:35] Exp 106: R1 - Bet $30, L, Balance $70
[00:18:57] Exp 109: R1 - Bet $30, L, Balance $70
[00:19:02] Exp 109: R2 - Bet $30, W, Balance $130
[00:19:11] Exp 109: R3 - Bet $30, L, Balance $100
[00:19:18] Exp 109: R4 - Bet $30, L, Balance $70
[00:19:40] Exp 111: R1 - Bet $30, L, Balance $70
[00:19:47] Exp 111: R2 - Bet $30, L, Balance $40
[00:20:04] Exp 112: R1 - Bet $70, W, Balance $240
[00:20:12] Exp 112: R2 - Bet $70, L, Balance $170
[00:20:35] Exp 115: R1 - Bet $50, L, Balance $50
[00:20:57] Exp 117: R1 - Bet $50, L, Balance $50
[00:21:16] Exp 119: R1 - Bet $50, L, Balance $50
[00:21:22] Exp 119: R2 - Bet $50, L, Balance $0
[00:21:51] Exp 123: R1 - Bet $50, W, Balance $200
[00:22:56] Exp 130: R1 - Bet $30, W, Balance $160
[00:23:02] Exp 130: R2 - Bet $30, W, Balance $220
[00:23:12] Exp 130: R3 - Bet $30, L, Balance $190
[00:23:48] Exp 134: R1 - Bet $70, L, Balance $30
[00:23:48] Exp 134: Balance $30 < Bet $70, game ends
[00:23:56] Exp 135: R1 - Bet $30, W, Balance $160
[00:24:15] Exp 136: R1 - Bet $50, L, Balance $50
[00:24:45] Exp 139: R1 - Bet $50, L, Balance $50
[00:25:08] Exp 141: R1 - Bet $70, L, Balance $30
[00:25:08] Exp 141: Balance $30 < Bet $70, game ends
[00:25:15] Exp 142: R1 - Bet $30, L, Balance $70
[00:25:36] Exp 144: R1 - Bet $30, L, Balance $70
[00:25:52] Exp 146: R1 - Bet $30, W, Balance $160
[00:25:57] Exp 146: R2 - Bet $30, W, Balance $220
[00:26:31] 💾 Intermediate results saved: 150 experiments
[00:27:01] Exp 154: R1 - Bet $50, L, Balance $50
[00:27:07] Exp 154: R2 - Bet $50, L, Balance $0
[00:27:18] Exp 155: R1 - Bet $70, L, Balance $30
[00:27:18] Exp 155: Balance $30 < Bet $70, game ends
[00:27:39] Exp 158: R1 - Bet $50, W, Balance $200
[00:28:00] Exp 160: R1 - Bet $70, L, Balance $30
[00:28:00] Exp 160: Balance $30 < Bet $70, game ends
[00:28:13] Exp 162: R1 - Bet $30, L, Balance $70
[00:28:25] Exp 163: R1 - Bet $50, L, Balance $50
[00:28:40] Exp 164: R1 - Bet $70, L, Balance $30
[00:28:40] Exp 164: Balance $30 < Bet $70, game ends
[00:29:18] Exp 169: R1 - Bet $70, W, Balance $240
[00:29:27] Exp 170: R1 - Bet $50, L, Balance $50
[00:29:41] Exp 171: R1 - Bet $70, L, Balance $30
[00:29:41] Exp 171: Balance $30 < Bet $70, game ends
[00:29:47] Exp 172: R1 - Bet $70, W, Balance $240
[00:29:54] Exp 172: R2 - Bet $70, W, Balance $380
[00:30:00] Exp 172: R3 - Bet $70, L, Balance $310
[00:30:09] Exp 172: R4 - Bet $70, W, Balance $450
[00:30:25] Exp 173: R1 - Bet $30, L, Balance $70
[00:30:33] Exp 173: R2 - Bet $30, W, Balance $130
[00:30:43] Exp 173: R3 - Bet $30, L, Balance $100
[00:31:05] Exp 175: R1 - Bet $50, L, Balance $50
[00:31:20] Exp 177: R1 - Bet $50, W, Balance $200
[00:31:47] Exp 180: R1 - Bet $50, W, Balance $200
[00:31:54] Exp 180: R2 - Bet $50, L, Balance $150
[00:32:09] Exp 181: R1 - Bet $70, L, Balance $30
[00:32:09] Exp 181: Balance $30 < Bet $70, game ends
[00:32:13] Exp 182: R1 - Bet $50, W, Balance $200
