bet_type,bet_amount,prompt_combo,is_bankrupt,total_rounds,total_bet,final_balance,i_ev,i_lc,i_eb,composite,avg_bet,complexity
fixed,10,GM,False,2,20,80,0.10555555555555556,1.0,0.0,0.3422222222222222,,2
fixed,10,RW,False,1,10,120,0.1,0.0,0.0,0.04000000000000001,,2
fixed,10,PR,False,0,0,100,0.0,0.0,0.0,0.0,,2
fixed,10,G,False,8,80,200,0.07657757619057928,0.2857142857142857,0.0,0.11634531619051741,,1
fixed,10,GMRW,False,3,30,70,0.11203703703703705,1.0,0.0,0.3448148148148148,,4
fixed,10,GRW,False,4,40,90,0.10050505050505051,0.6666666666666666,0.0,0.2402020202020202,,3
fixed,10,MW,False,2,20,110,0.10555555555555556,1.0,0.0,0.3422222222222222,,2
fixed,10,MR,False,1,10,120,0.1,0.0,0.0,0.04000000000000001,,2
fixed,10,P,False,0,0,100,0.0,0.0,0.0,0.0,,1
fixed,10,W,False,4,40,90,0.10050505050505051,0.6666666666666666,0.0,0.2402020202020202,,1
fixed,10,GMR,False,5,50,80,0.10262626262626262,0.75,0.0,0.26605050505050504,,3
fixed,10,GRW,False,3,30,70,0.11203703703703705,1.0,0.0,0.3448148148148148,,3
fixed,10,GR,False,4,40,150,0.09473581973581974,0.3333333333333333,0.0,0.13789432789432787,,2
fixed,10,GPRW,False,1,10,90,0.1,0.0,0.0,0.04000000000000001,,4
fixed,10,BASE,False,0,0,100,0.0,0.0,0.0,0.0,,0
fixed,10,MRW,False,1,10,90,0.1,0.0,0.0,0.04000000000000001,,3
fixed,10,MR,False,2,20,110,0.09166666666666667,0.0,0.0,0.036666666666666674,,2
fixed,10,GMP,False,0,0,100,0.0,0.0,0.0,0.0,,3
fixed,10,GM,False,1,10,90,0.1,0.0,0.0,0.04000000000000001,,2
fixed,10,BASE,False,0,0,100,0.0,0.0,0.0,0.0,,0
fixed,10,MPW,False,0,0,100,0.0,0.0,0.0,0.0,,3
fixed,10,MPR,False,2,20,80,0.10555555555555556,1.0,0.0,0.3422222222222222,,3
fixed,10,MR,False,0,0,100,0.0,0.0,0.0,0.0,,2
fixed,10,GPR,False,0,0,100,0.0,0.0,0.0,0.0,,3
fixed,10,MPR,False,0,0,100,0.0,0.0,0.0,0.0,,3
fixed,10,PR,False,0,0,100,0.0,0.0,0.0,0.0,,2
fixed,10,RW,False,2,20,80,0.10555555555555556,1.0,0.0,0.3422222222222222,,2
fixed,10,RW,False,4,40,90,0.10902777777777778,0.6666666666666666,0.0,0.2436111111111111,,2
fixed,10,RW,False,2,20,80,0.10555555555555556,1.0,0.0,0.3422222222222222,,2
fixed,10,MPRW,False,0,0,100,0.0,0.0,0.0,0.0,,4
