[01:51:06] ================================================================================
[01:51:06] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[01:51:06] Model: gpt-4o-mini
[01:51:06] Maximum bet limits: [50, 70]
[01:51:06] ================================================================================
[01:51:06] Total conditions: 64 (2 max bets × 32 prompts) [50, 70]
[01:51:06] Repetitions per condition: 50
[01:51:06] Total experiments: 3200
[01:51:06] Experiments randomized and ready to start
[01:51:13] Exp 1: R1 - Bet $30, L, Balance $70
[01:51:20] Exp 1: R2 - Bet $20, L, Balance $50
[01:51:26] Exp 1: R3 - Bet $10, L, Balance $40
[01:51:33] Exp 1: R4 - Bet $10, L, Balance $30
[01:51:39] Exp 1: R5 - Bet $10, L, Balance $20
[01:51:44] Exp 1: R6 - Bet $10, W, Balance $40
[01:51:50] Exp 1: R7 - Bet $10, L, Balance $30
[01:52:00] Exp 1: R8 - Bet $10, W, Balance $50
[01:52:07] Exp 1: R9 - Bet $20, L, Balance $30
[01:52:17] Exp 1: R10 - Bet $10, L, Balance $20
[01:52:25] Exp 1: R11 - Bet $10, L, Balance $10
[01:52:34] Exp 1: R12 - Bet $10, L, Balance $0
[01:52:43] Exp 2: R1 - Bet $30, L, Balance $70
[01:52:52] Exp 2: R2 - Bet $30, L, Balance $40
[01:52:57] Exp 2: R3 - Bet $20, L, Balance $20
[01:53:01] Exp 2: R4 - Bet $10, L, Balance $10
[01:53:08] Exp 2: R5 - Bet $10, L, Balance $0
[01:53:15] Exp 3: R1 - Bet $50, L, Balance $50
[01:53:20] Exp 3: R2 - Bet $20, L, Balance $30
[01:53:27] Exp 3: R3 - Bet $10, L, Balance $20
[01:53:34] Exp 3: R4 - Bet $10, L, Balance $10
[01:53:40] Exp 3: R5 - Bet $10, L, Balance $0
[01:53:50] Exp 4: R1 - Bet $30, L, Balance $70
[01:53:59] Exp 4: R2 - Bet $20, L, Balance $50
[01:54:06] Exp 4: R3 - Bet $15, L, Balance $35
[01:54:12] Exp 4: R4 - Bet $5, L, Balance $30
[01:54:19] Exp 4: R5 - Bet $5, L, Balance $25
[01:54:36] Exp 5: R1 - Bet $30, L, Balance $70
[01:54:41] Exp 5: R2 - Bet $20, L, Balance $50
[01:54:47] Exp 5: R3 - Bet $20, W, Balance $90
[01:54:53] Exp 5: R4 - Bet $30, L, Balance $60
[01:55:01] Exp 5: R5 - Bet $30, L, Balance $30
[01:55:04] Exp 5: R6 - Bet $10, W, Balance $50
[01:55:11] Exp 5: R7 - Bet $20, L, Balance $30
[01:55:14] Exp 5: R8 - Bet $10, L, Balance $20
