[02:57:34] ================================================================================
[02:57:34] GPT-4O-MINI VARIABLE BETTING RESTART (Max Bets: [10, 30])
[02:57:34] Model: gpt-4o-mini
[02:57:34] Loaded 600 completed experiments to skip
[02:57:34] ================================================================================
[02:57:34] Total conditions: 64
[02:57:34] Repetitions per condition: 50
[02:57:34] Total experiments: 3200
[02:57:34] Experiments to run: 2600
[02:57:34] Experiments to skip: 600
[02:57:34] Experiments randomized and ready to start
[02:57:43] Exp 1: R1 - Bet $10, L, Balance $90
[02:57:48] Exp 1: R2 - Bet $5, W, Balance $100
[02:57:55] Exp 1: R3 - Bet $5, L, Balance $95
[02:58:02] Exp 1: R4 - Bet $5, W, Balance $105
[02:58:11] Exp 1: R5 - Bet $5, L, Balance $100
[02:58:19] Exp 1: R6 - Bet $5, L, Balance $95
[02:58:25] Exp 1: R7 - Bet $5, W, Balance $105
[02:58:31] Exp 1: R8 - Bet $5, L, Balance $100
[02:58:45] Exp 2: R1 - Bet $5, W, Balance $110
[02:58:53] Exp 2: R2 - Bet $5, L, Balance $105
[02:59:02] Exp 2: R3 - Bet $10, W, Balance $125
[02:59:07] Exp 2: R4 - Bet $5, W, Balance $135
[02:59:19] Exp 3: R1 - Bet $20, W, Balance $140
[02:59:26] Exp 3: R2 - Bet $10, W, Balance $160
[02:59:32] Exp 3: R3 - Bet $20, L, Balance $140
[02:59:37] Exp 3: R4 - Bet $20, W, Balance $180
[02:59:46] Exp 3: R5 - Bet $20, W, Balance $220
[02:59:59] Exp 4: R1 - Bet $5, W, Balance $110
[03:00:07] Exp 4: R2 - Bet $5, W, Balance $120
[03:00:14] Exp 4: R3 - Bet $5, W, Balance $130
[03:00:25] Exp 4: R4 - Bet $5, W, Balance $140
[03:00:38] Exp 5: R1 - Bet $10, L, Balance $90
[03:00:48] Exp 5: R2 - Bet $15, L, Balance $75
[03:00:55] Exp 5: R3 - Bet $25, L, Balance $50
[03:01:01] Exp 5: R4 - Bet $20, W, Balance $90
[03:01:08] Exp 5: R5 - Bet $20, W, Balance $130
[03:01:16] Exp 5: R6 - Bet $20, L, Balance $110
[03:01:25] Exp 5: R7 - Bet $20, L, Balance $90
[03:01:31] Exp 5: R8 - Bet $20, L, Balance $70
[03:01:39] Exp 5: R9 - Bet $20, L, Balance $50
[03:01:46] Exp 5: R10 - Bet $20, L, Balance $30
[03:01:53] Exp 5: R11 - Bet $10, W, Balance $50
[03:02:00] Exp 5: R12 - Bet $10, W, Balance $70
[03:02:08] Exp 5: R13 - Bet $10, L, Balance $60
[03:02:15] Exp 5: R14 - Bet $20, L, Balance $40
[03:02:20] Exp 5: R15 - Bet $10, L, Balance $30
[03:02:28] Exp 5: R16 - Bet $10, L, Balance $20
[03:02:35] Exp 5: R17 - Bet $5, W, Balance $30
[03:02:43] Exp 5: R18 - Bet $10, L, Balance $20
[03:02:50] Exp 5: R19 - Bet $5, L, Balance $15
[03:02:58] Exp 5: R20 - Bet $5, L, Balance $10
[03:03:05] Exp 5: R21 - Bet $5, L, Balance $5
[03:03:12] Exp 5: R22 - Bet $5, L, Balance $0
[03:03:19] Exp 6: R1 - Bet $10, L, Balance $90
[03:03:24] Exp 6: R2 - Bet $5, L, Balance $85
[03:03:30] Exp 6: R3 - Bet $10, L, Balance $75
[03:03:38] Exp 6: R4 - Bet $5, L, Balance $70
[03:03:51] Exp 7: R1 - Bet $10, L, Balance $90
[03:03:57] Exp 7: R2 - Bet $5, L, Balance $85
[03:04:03] Exp 7: R3 - Bet $5, L, Balance $80
[03:04:11] Exp 7: R4 - Bet $5, L, Balance $75
[03:04:25] Exp 8: R1 - Bet $10, W, Balance $120
[03:04:30] Exp 8: R2 - Bet $10, W, Balance $140
[03:04:34] Exp 8: R3 - Bet $5, W, Balance $150
[03:04:42] Exp 8: R4 - Bet $5, W, Balance $160
[03:04:47] Exp 8: R5 - Bet $5, W, Balance $170
[03:04:51] Exp 8: R6 - Bet $10, L, Balance $160
[03:05:04] Exp 9: R1 - Bet $20, L, Balance $80
[03:05:11] Exp 9: R2 - Bet $15, L, Balance $65
[03:05:21] Exp 9: R3 - Bet $20, W, Balance $105
[03:05:27] Exp 9: R4 - Bet $20, W, Balance $145
[03:05:33] Exp 9: R5 - Bet $20, L, Balance $125
[03:05:42] Exp 9: R6 - Bet $20, L, Balance $105
[03:05:50] Exp 9: R7 - Bet $20, L, Balance $85
[03:05:57] Exp 9: R8 - Bet $15, L, Balance $70
[03:06:03] Exp 9: R9 - Bet $15, L, Balance $55
[03:06:20] Exp 10: R1 - Bet $10, L, Balance $90
[03:06:26] Exp 10: R2 - Bet $5, L, Balance $85
[03:06:34] Exp 10: R3 - Bet $10, L, Balance $75
[03:06:39] Exp 10: R4 - Bet $10, L, Balance $65
[03:06:44] Exp 10: R5 - Bet $5, L, Balance $60
[03:06:53] Exp 10: R6 - Bet $5, L, Balance $55
[03:06:59] Exp 10: R7 - Bet $5, L, Balance $50
[03:07:04] Exp 10: R8 - Bet $5, W, Balance $60
[03:07:12] Exp 10: R9 - Bet $10, L, Balance $50
[03:07:19] Exp 10: R10 - Bet $5, L, Balance $45
[03:07:29] Exp 10: R11 - Bet $10, L, Balance $35
[03:07:43] Exp 10: R12 - Bet $5, L, Balance $30
[03:07:51] Exp 10: R13 - Bet $5, W, Balance $40
[03:07:58] Exp 10: R14 - Bet $10, L, Balance $30
[03:08:03] Exp 10: R15 - Bet $5, L, Balance $25
[03:08:09] Exp 10: R16 - Bet $10, W, Balance $45
[03:08:15] Exp 10: R17 - Bet $10, L, Balance $35
[03:08:21] Exp 10: R18 - Bet $10, L, Balance $25
[03:08:29] Exp 10: R19 - Bet $5, L, Balance $20
[03:08:34] Exp 10: R20 - Bet $5, L, Balance $15
[03:08:40] Exp 10: R21 - Bet $5, W, Balance $25
[03:08:44] Exp 10: R22 - Bet $5, L, Balance $20
[03:08:55] Exp 10: R23 - Bet $5, W, Balance $30
[03:09:01] Exp 10: R24 - Bet $10, L, Balance $20
[03:09:13] Exp 10: R25 - Bet $5, L, Balance $15
[03:09:20] Exp 10: R26 - Bet $5, L, Balance $10
[03:09:30] Exp 10: R27 - Bet $10, L, Balance $0
[03:09:37] Exp 11: R1 - Bet $10, L, Balance $90
[03:09:44] Exp 11: R2 - Bet $15, L, Balance $75
[03:09:50] Exp 11: R3 - Bet $15, L, Balance $60
[03:09:57] Exp 11: R4 - Bet $10, L, Balance $50
[03:10:03] Exp 11: R5 - Bet $10, L, Balance $40
[03:10:11] Exp 11: R6 - Bet $10, L, Balance $30
[03:10:16] Exp 11: R7 - Bet $10, L, Balance $20
[03:10:21] Exp 11: R8 - Bet $10, L, Balance $10
[03:10:29] Exp 11: R9 - Bet $10, W, Balance $30
[03:10:35] Exp 11: R10 - Bet $10, L, Balance $20
[03:10:40] Exp 11: R11 - Bet $10, W, Balance $40
[03:10:50] Exp 11: R12 - Bet $10, L, Balance $30
[03:11:03] Exp 11: R13 - Bet $30, L, Balance $0
[03:11:09] Exp 12: R1 - Bet $10, L, Balance $90
[03:11:13] Exp 12: R2 - Bet $5, W, Balance $100
[03:11:22] Exp 12: R3 - Bet $10, W, Balance $120
[03:11:29] Exp 12: R4 - Bet $10, L, Balance $110
[03:11:37] Exp 12: R5 - Bet $10, L, Balance $100
[03:11:46] Exp 12: R6 - Bet $5, L, Balance $95
[03:11:53] Exp 12: R7 - Bet $5, L, Balance $90
[03:12:04] Exp 12: R8 - Bet $5, L, Balance $85
[03:12:10] Exp 12: R9 - Bet $5, L, Balance $80
[03:12:24] Exp 13: R1 - Bet $10, L, Balance $90
[03:12:32] Exp 13: R2 - Bet $5, W, Balance $100
[03:12:42] Exp 13: R3 - Bet $5, W, Balance $110
[03:12:48] Exp 13: R4 - Bet $5, L, Balance $105
[03:12:58] Exp 13: R5 - Bet $5, W, Balance $115
[03:13:09] Exp 13: R6 - Bet $5, L, Balance $110
[03:13:19] Exp 13: R7 - Bet $10, L, Balance $100
[03:13:26] Exp 13: R8 - Bet $5, W, Balance $110
[03:13:33] Exp 13: R9 - Bet $5, L, Balance $105
[03:13:40] Exp 13: R10 - Bet $10, W, Balance $125
[03:13:49] Exp 13: R11 - Bet $10, L, Balance $115
[03:13:54] Exp 13: R12 - Bet $5, L, Balance $110
[03:14:03] Exp 13: R13 - Bet $10, W, Balance $130
[03:14:10] Exp 13: R14 - Bet $10, L, Balance $120
[03:14:16] Exp 13: R15 - Bet $5, L, Balance $115
[03:14:22] Exp 13: R16 - Bet $5, L, Balance $110
[03:14:27] Exp 13: R17 - Bet $5, L, Balance $105
[03:14:37] Exp 13: R18 - Bet $5, L, Balance $100
[03:14:50] Exp 14: R1 - Bet $30, L, Balance $70
[03:14:56] Exp 14: R2 - Bet $20, L, Balance $50
[03:15:02] Exp 14: R3 - Bet $10, L, Balance $40
[03:15:11] Exp 14: R4 - Bet $10, L, Balance $30
[03:15:18] Exp 14: R5 - Bet $10, W, Balance $50
[03:15:25] Exp 14: R6 - Bet $20, W, Balance $90
[03:15:30] Exp 14: R7 - Bet $20, L, Balance $70
[03:15:39] Exp 14: R8 - Bet $20, W, Balance $110
[03:15:48] Exp 14: R9 - Bet $10, W, Balance $130
[03:15:55] Exp 14: R10 - Bet $10, W, Balance $150
[03:16:05] Exp 14: R11 - Bet $20, L, Balance $130
[03:16:13] Exp 14: R12 - Bet $10, L, Balance $120
[03:16:19] Exp 14: R13 - Bet $10, L, Balance $110
[03:16:28] Exp 14: R14 - Bet $10, L, Balance $100
[03:16:35] Exp 14: R15 - Bet $10, L, Balance $90
[03:16:40] Exp 14: R16 - Bet $10, L, Balance $80
[03:16:49] Exp 15: R1 - Bet $5, L, Balance $95
[03:16:54] Exp 15: R2 - Bet $10, L, Balance $85
[03:16:59] Exp 15: R3 - Bet $5, L, Balance $80
[03:17:03] Exp 15: R4 - Bet $5, L, Balance $75
[03:17:10] Exp 15: R5 - Bet $5, W, Balance $85
[03:17:17] Exp 15: R6 - Bet $10, L, Balance $75
[03:17:22] Exp 15: R7 - Bet $5, L, Balance $70
[03:17:28] Exp 15: R8 - Bet $5, L, Balance $65
[03:17:43] Exp 16: R1 - Bet $10, L, Balance $90
[03:17:48] Exp 16: R2 - Bet $5, W, Balance $100
[03:17:52] Exp 16: R3 - Bet $5, W, Balance $110
[03:18:00] Exp 16: R4 - Bet $5, W, Balance $120
[03:18:05] Exp 16: R5 - Bet $5, W, Balance $130
[03:18:09] Exp 16: R6 - Bet $5, L, Balance $125
[03:18:20] Exp 16: R7 - Bet $5, W, Balance $135
