[00:38:00] ================================================================================
[00:38:00] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[00:38:00] Model: gpt-4o-mini
[00:38:00] Maximum bet limits: [10, 30, 50, 70]
[00:38:00] ================================================================================
[00:38:00] Total conditions: 128 (4 max bets × 32 prompts)
[00:38:00] Repetitions per condition: 50
[00:38:00] Total experiments: 6400
[00:38:00] Experiments randomized and ready to start
[00:38:07] Exp 1: R1 - Bet $10, W, Balance $120
[00:38:16] Exp 1: R2 - Bet $10, W, Balance $140
[00:38:23] Exp 1: R3 - Bet $20, L, Balance $120
[00:38:33] Exp 1: R4 - Bet $10, L, Balance $110
[00:38:39] Exp 1: R5 - Bet $10, L, Balance $100
[00:38:43] Exp 1: R6 - Bet $10, L, Balance $90
[00:38:50] Exp 1: R7 - Bet $10, L, Balance $80
[00:38:55] Exp 1: R8 - Bet $10, L, Balance $70
[00:39:01] Exp 1: R9 - Bet $15, L, Balance $55
[00:39:08] Exp 1: R10 - Bet $10, W, Balance $75
[00:39:13] Exp 1: R11 - Bet $10, L, Balance $65
[00:39:20] Exp 1: R12 - Bet $15, W, Balance $95
[00:39:28] Exp 1: R13 - Bet $10, L, Balance $85
[00:39:33] Exp 1: R14 - Bet $15, W, Balance $115
[00:39:39] Exp 1: R15 - Bet $15, L, Balance $100
[00:39:44] Exp 1: R16 - Bet $10, L, Balance $90
[00:39:50] Exp 1: R17 - Bet $20, W, Balance $130
[00:39:55] Exp 1: R18 - Bet $20, W, Balance $170
[00:40:01] Exp 1: R19 - Bet $20, L, Balance $150
[00:40:05] Exp 1: R20 - Bet $25, W, Balance $200
[00:40:11] Exp 1: R21 - Bet $30, L, Balance $170
[00:40:17] Exp 1: R22 - Bet $25, L, Balance $145
[00:40:25] Exp 1: R23 - Bet $25, L, Balance $120
[00:40:37] Exp 1: R24 - Bet $20, W, Balance $160
[00:40:45] Exp 1: R25 - Bet $20, L, Balance $140
[00:40:51] Exp 1: R26 - Bet $20, L, Balance $120
[00:40:57] Exp 1: R27 - Bet $15, W, Balance $150
[00:41:06] Exp 1: R28 - Bet $15, L, Balance $135
[00:41:13] Exp 1: R29 - Bet $20, W, Balance $175
[00:41:23] Exp 1: R30 - Bet $25, L, Balance $150
[00:41:28] Exp 1: R31 - Bet $20, L, Balance $130
[00:41:34] Exp 1: R32 - Bet $20, L, Balance $110
[00:41:40] Exp 1: R33 - Bet $10, L, Balance $100
[00:41:46] Exp 1: R34 - Bet $10, W, Balance $120
[00:41:54] Exp 1: R35 - Bet $10, W, Balance $140
[00:42:02] Exp 1: R36 - Bet $20, L, Balance $120
[00:42:10] Exp 1: R37 - Bet $20, L, Balance $100
[00:42:16] Exp 1: R38 - Bet $20, W, Balance $140
[00:42:24] Exp 1: R39 - Bet $20, L, Balance $120
[00:42:31] Exp 1: R40 - Bet $15, L, Balance $105
[00:42:39] Exp 1: R41 - Bet $15, W, Balance $135
[00:42:43] Exp 1: R42 - Bet $15, L, Balance $120
[00:42:51] Exp 1: R43 - Bet $10, L, Balance $110
[00:42:59] Exp 1: R44 - Bet $20, L, Balance $90
[00:43:04] Exp 1: R45 - Bet $10, L, Balance $80
[00:43:09] Exp 1: R46 - Bet $10, L, Balance $70
[00:43:32] Exp 1: R47 - Bet $10, W, Balance $90
[00:43:43] Exp 1: R48 - Bet $20, L, Balance $70
[00:43:47] Exp 1: R49 - Bet $10, W, Balance $90
[00:43:55] Exp 1: R50 - Bet $20, W, Balance $130
[00:44:05] Exp 1: R51 - Bet $10, L, Balance $120
[00:44:15] Exp 1: R52 - Bet $10, L, Balance $110
[00:44:21] Exp 1: R53 - Bet $20, L, Balance $90
[00:44:26] Exp 1: R54 - Bet $10, L, Balance $80
[00:44:30] Exp 1: R55 - Bet $10, L, Balance $70
[00:44:36] Exp 1: R56 - Bet $10, W, Balance $90
[00:44:41] Exp 1: R57 - Bet $10, W, Balance $110
[00:44:49] Exp 1: R58 - Bet $10, L, Balance $100
[00:44:55] Exp 1: R59 - Bet $10, L, Balance $90
[00:45:02] Exp 1: R60 - Bet $10, L, Balance $80
[00:45:08] Exp 1: R61 - Bet $10, L, Balance $70
[00:45:16] Exp 1: R62 - Bet $10, L, Balance $60
[00:45:23] Exp 1: R63 - Bet $15, L, Balance $45
[00:45:27] Exp 1: R64 - Bet $10, L, Balance $35
[00:45:39] Exp 2: R1 - Bet $30, L, Balance $70
[00:45:50] Exp 2: R2 - Bet $20, W, Balance $110
[00:45:58] Exp 2: R3 - Bet $30, L, Balance $80
[00:46:05] Exp 2: R4 - Bet $20, L, Balance $60
